nombre,descripcion,precio,stock,categoria
"Micrófono de Solapa","Clip para entrevistas",35.00,45,"Audio"
"Interfaz de Audio","2 entradas XLR",160.00,9,"Audio"
"Consola de Mezclas","4 canales con efectos",120.00,6,"Audio"
"Soporte de Micrófono","Brazo articulado",30.00,30,"Audio"
"Cable XLR 3m","Conectores dorados",15.00,60,"Audio"
"Funda para Auriculares","Material rígido",12.00,85,"Audio"
"Batería Externa Solar","Carga en exteriores",45.00,22,"Accesorios"
"Mando para Juegos PC","Vibración dual",35.00,40,"Accesorios"
"Volante para Carreras","Pedales incluidos",210.00,4,"Accesorios"
"Gafas Realidad Virtual","Compatible con smartphones",55.00,15,"Tecnología"
"Dron con Cámara 4K","Vuelo estable GPS",450.00,3,"Tecnología"
"Estabilizador para Celular","Gimbal de 3 ejes",110.00,12,"Fotografía"
"Tarjeta MicroSD 128GB","Clase 10 U3",28.00,120,"Accesorios"
"Luz de Anillo LED","Para streaming y fotos",35.00,50,"Fotografía"
"Panel LED Iluminación","Brillo ajustable",95.00,18,"Fotografía"
"Mochila para Cámara","Resistente al clima",85.00,25,"Fotografía"
"Kit Limpieza de Sensor","Profesional",25.00,30,"Fotografía"
"Flash Externo","Sincronización rápida",140.00,10,"Fotografía"
"Disparador Remoto","Inalámbrico 100m",30.00,40,"Fotografía"
"Filtro Polarizador 58mm","Mejora contraste",22.00,35,"Fotografía"
"Batería LP-E6","Alta capacidad",40.00,20,"Fotografía"
"Correa para Cámara","Cuero genuino",35.00,15,"Fotografía"
"Marco de Fotos Digital","Pantalla 10 pulgadas",95.00,8,"Hogar"
"Reloj de Pared Moderno","Silencioso",25.00,30,"Hogar"
"Humidificador Ultrasónico","Capacidad 2L",35.00,45,"Hogar"
"Difusor de Aromas","7 colores LED",28.00,55,"Hogar"
"Purificador de Aire","Filtro HEPA H13",180.00,10,"Hogar"
"Aspiradora Robot","Navegación inteligente",250.00,6,"Hogar"
"Báscula Inteligente","Medición composición corporal",35.00,40,"Hogar"
"Termómetro Infrarrojo","Sin contacto",25.00,80,"Salud"
"Oxímetro de Pulso","Precisión médica",20.00,95,"Salud"
"Masajeador de Cuello","Calor infrarrojo",45.00,25,"Salud"
"Tensiómetro Digital","Memoria para 2 usuarios",55.00,15,"Salud"
"Cepillo Dental Eléctrico","4 modos limpieza",75.00,30,"Salud"
"Secador de Pelo Iónico","Motor AC profesional",65.00,22,"Salud"
"Plancha de Pelo","Placas titanio",85.00,18,"Salud"
"Recortadora de Barba","Cuchillas autoafilables",45.00,40,"Salud"
"Espejo Maquillaje LED","Aumento 10x",30.00,35,"Salud"
"Maletín de Herramientas","100 piezas",95.00,12,"Herramientas"
"Taladro Inalámbrico","20V con 2 baterías",120.00,10,"Herramientas"
"Atornillador de Precisión","Kit 24 puntas",25.00,60,"Herramientas"
"Multímetro Digital","Rango automático",35.00,45,"Herramientas"
"Soldador Eléctrico","Temperatura regulable",22.00,50,"Herramientas"
"Linterna LED Recargable","1000 lúmenes",30.00,75,"Herramientas"
"Cinta Métrica 5m","Bloqueo automático",12.00,150,"Herramientas"
"Nivel Láser","Autonivelante",85.00,15,"Herramientas"
"Pistola de Silicona","60W alto flujo",18.00,80,"Herramientas"
"Caja de Seguridad","Digital pequeña",65.00,10,"Hogar"
"Extintor de Incendios","1kg Polvo ABC",35.00,40,"Hogar"
"Detector de Humo","Batería 10 años",20.00,65,"Hogar"
